SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
English,English as an Additional Language,Level AL,VC2EALALASC01,"By the end of Level AL, students demonstrate the following skills in English as an Additional Language.",,"additional,demonstrate,english,following,language,level,skills",VC2EALALL04,High
English,English as an Additional Language,Level AL,VC2EALALASC02,Students use simple English words and phrases to communicate with teachers and peers in familiar routine situations.,Listening and Speaking,"communicate,english,familiar,peers,phrases,routine,simple,situations,teachers,words","VC2EALALL13,VC2EALALL03,VC2EALALL06,VC2EALALL11,VC2EALALL12",High
English,English as an Additional Language,Level AL,VC2EALALASC03,They listen to others and concentrate for short periods.,Listening and Speaking,"concentrate,listen,others,periods,short","VC2EALALL01,VC2EALALL04,VC2EALALL15,VC2EALALL02,VC2EALALL05",High
English,English as an Additional Language,Level AL,VC2EALALASC04,"They follow one- and 2-step instructions, exchange simple personal information and attempt to use the foundational oral English needed to manage learning in an English-speaking classroom.",Listening and Speaking,"2-step,attempt,classroom,english,english-speaking,exchange,follow,foundational,information,instructions,learning,manage,needed,one-,oral,personal,simple","VC2EALALL03,VC2EALALL04,VC2EALALL12,VC2EALALL13,VC2EALALL02",High
English,English as an Additional Language,Level AL,VC2EALALASC05,They begin to adapt their emerging English language skills and knowledge to respond to new communicative and functional demands.,Listening and Speaking,"adapt,begin,communicative,demands,emerging,english,functional,knowledge,language,respond,skills","VC2EALALL01,VC2EALALL12,VC2EALALL13,VC2EALALL14,VC2EALALL02",High
English,English as an Additional Language,Level AL,VC2EALALASC06,"They use simple, learnt formulaic responses to communicate.",Listening and Speaking,"communicate,formulaic,learnt,responses,simple","VC2EALALL02,VC2EALALL06,VC2EALALL13,VC2EALALL15,VC2EALALL03",High
English,English as an Additional Language,Level AL,VC2EALALASC07,"Their utterances are characterised by a reliance on key vocabulary and/or paralinguistic (non-verbal) communication such as gestures, facial expressions and head movements with many home language influences.",Listening and Speaking,"(non-verbal),and/or,characterised,communication,expressions,facial,gestures,head,home,influences,language,many,movements,paralinguistic,reliance,utterances,vocabulary","VC2EALALL01,VC2EALALL13,VC2EALALL15,VC2EALALL02,VC2EALALL12",High
English,English as an Additional Language,Level AL,VC2EALALASC08,They use some basic communication and learning strategies to participate and/or repair miscommunication in English.,Listening and Speaking,"and/or,basic,communication,english,learning,miscommunication,participate,repair,some,strategies","VC2EALALL03,VC2EALALL12,VC2EALALL13,VC2EALALL01,VC2EALALL14",High
English,English as an Additional Language,Level AL,VC2EALALASC09,"They demonstrate familiarity with some basic patterns in the sounds, intonation, rhythm, grammar and meaning of English.",Listening and Speaking,"basic,demonstrate,english,familiarity,grammar,intonation,meaning,patterns,rhythm,some,sounds","VC2EALALL12,VC2EALALL08,VC2EALALL11,VC2EALALL01,VC2EALALL03",High
English,English as an Additional Language,Level AL,VC2EALALASC10,"They attempt to copy pronunciation, stress and intonation used by others.",Listening and Speaking,"attempt,copy,intonation,others,pronunciation,stress,used","VC2EALALL11,VC2EALALL10,VC2EALALL15,VC2EALALL03,VC2EALALL05",High
English,English as an Additional Language,Level AL,VC2EALALASC11,They repeat key words and phrases that others use.,Listening and Speaking,"others,phrases,repeat,words","VC2EALALL06,VC2EALALL13,VC2EALALL03,VC2EALALL09,VC2EALALL10",High
English,English as an Additional Language,Level AL,VC2EALALASC12,"They use home language peers as supports for learning and use resources, including classroom print texts such as pictures, diagrams, posters and other visual texts, to help them communicate.",Listening and Speaking,"classroom,communicate,diagrams,help,home,language,learning,other,peers,pictures,posters,print,resources,supports,texts,visual","VC2EALALL14,VC2EALALL09,VC2EALALL13,VC2EALALR11,VC2EALALW12",High
English,English as an Additional Language,Level AL,VC2EALALASC13,Students show interest in a variety of English texts and concentrate for short periods of time when reading or viewing short texts in print or visual form.,Reading and Viewing,"concentrate,english,form,interest,periods,print,reading,short,show,texts,time,variety,viewing,visual,when","VC2EALALR05,VC2EALALR10,VC2EALALR11,VC2EALALR01,VC2EALALR02",High
English,English as an Additional Language,Level AL,VC2EALALASC14,"They demonstrate reading-like behaviours, including holding a book, looking at the cover and pages of a book, turning single pages and looking at pictures.",Reading and Viewing,"behaviours,book,cover,demonstrate,holding,looking,pages,pictures,reading-like,single,turning","VC2EALALR05,VC2EALALR09,VC2EALALR10,VC2EALALR06,VC2EALALL02",High
English,English as an Additional Language,Level AL,VC2EALALASC15,"They recognise basic features of English texts, including page order and the role of illustrations in texts.",Reading and Viewing,"basic,english,features,illustrations,order,page,recognise,role,texts","VC2EALALR05,VC2EALALR02,VC2EALALR06,VC2EALALR09,VC2EALALR11",High
English,English as an Additional Language,Level AL,VC2EALALASC16,"They focus on images and other visual features that assist them to understand texts, and rely on peer or teacher support to complete simple structured activities such as sequencing pictures or acting out the key elements of a text.",Reading and Viewing,"acting,activities,assist,complete,elements,features,focus,images,other,peer,pictures,rely,sequencing,simple,structured,support,teacher,text,texts,understand,visual","VC2EALALR10,VC2EALALR03,VC2EALALR12,VC2EALALR04,VC2EALALL02",High
English,English as an Additional Language,Level AL,VC2EALALASC17,"They read some environmental print, including their name and other familiar words and signs.",Reading and Viewing,"environmental,familiar,name,other,print,read,signs,some,words","VC2EALALR02,VC2EALALR06,VC2EALALR10,VC2EALALR01,VC2EALALR03",High
English,English as an Additional Language,Level AL,VC2EALALASC18,They recognise and name some familiar letters and know the sounds commonly related to some letters and letter groups.,Reading and Viewing,"commonly,familiar,groups,know,letter,letters,name,recognise,related,some,sounds","VC2EALALR02,VC2EALALR07,VC2EALALR06,VC2EALALR08,VC2EALALW08",High
English,English as an Additional Language,Level AL,VC2EALALASC19,"When listening to texts being read aloud, they identify key words, and repeated words and phrases.",Reading and Viewing,"aloud,identify,listening,phrases,read,repeated,texts,when,words","VC2EALALR09,VC2EALALR12,VC2EALALR02,VC2EALALR06,VC2EALALR01",High
English,English as an Additional Language,Level AL,VC2EALALASC20,They attempt to participate in shared reading experiences.,Reading and Viewing,"attempt,experiences,participate,reading,shared","VC2EALALR12,VC2EALALR02,VC2EALALR04,VC2EALALR05,VC2EALALR06",High
English,English as an Additional Language,Level AL,VC2EALALASC21,"Students communicate their ideas and experiences through drawings and attempts at writing copied from other sources such as environmental print and very short teacher-modelled texts, showing evidence of an emerging understanding of writing processes.",Writing,"attempts,communicate,copied,drawings,emerging,environmental,evidence,experiences,ideas,other,print,processes,short,showing,sources,teacher-modelled,texts,understanding,very,writing","VC2EALALW13,VC2EALALW03,VC2EALALW11,VC2EALALW12,VC2EALALL09",High
English,English as an Additional Language,Level AL,VC2EALALASC22,"They demonstrate interest and some ability to concentrate in shared writing activities, including watching the teacher and other students writing.",Writing,"ability,activities,concentrate,demonstrate,interest,other,shared,some,teacher,watching,writing","VC2EALALW13,VC2EALALW05,VC2EALALW06,VC2EALALW07,VC2EALALW10",High
English,English as an Additional Language,Level AL,VC2EALALASC23,They participate in shared writing experiences.,Writing,"experiences,participate,shared,writing","VC2EALALW13,VC2EALALW07,VC2EALALW02,VC2EALALW03,VC2EALALW05",High
English,English as an Additional Language,Level AL,VC2EALALASC24,They demonstrate awareness that written texts in English are presented through conventions that change according to context and purpose.,Writing,"according,awareness,change,context,conventions,demonstrate,english,presented,purpose,texts,written","VC2EALALW11,VC2EALALW12,VC2EALALR05,VC2EALALR09,VC2EALALW01",High
English,English as an Additional Language,Level AL,VC2EALALASC25,"They use drawings to represent simple descriptions, recounts and procedures.",Writing,"descriptions,drawings,procedures,recounts,represent,simple","VC2EALALW01,VC2EALALW02,VC2EALALW03,VC2EALALW04,VC2EALALW05",High
English,English as an Additional Language,Level AL,VC2EALALASC26,"They copy words or phrases from books, vocabulary lists and other resources, and can write their own name.",Writing,"books,copy,lists,name,other,phrases,resources,vocabulary,words,write","VC2EALALW01,VC2EALALW02,VC2EALALW07,VC2EALALW10,VC2EALALW11",High
