SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,ContentCode,ContentType,ContentHeader,ContentDescription,Elaboration,Sequence
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET01,Descriptor,Reading and viewing texts,"In this area of study, students engage in reading and viewing texts with a focus on personal connections with the story.",,1
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET01,Elaboration,Reading and viewing texts,,"They discuss and clarify the ideas and values presented by authors through their evocations of character, setting and plot, and through investigations of the point of view and/or the voice of the text.",2
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET01,Elaboration,Reading and viewing texts,,"They develop and strengthen inferential reading and viewing skills, and consider the ways a text’s vocabulary, text structures and language features can create meaning on several levels and in different ways.",3
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET02,Descriptor,Exploration of texts,"Students’ exploration of texts involves understanding and appreciating the role of vocabulary, text structures and language features in creating story and meaning.",,4
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET02,Elaboration,Exploration of texts,,"They contemplate the ways a text can present and reflect human experiences, and how stories or aspects of stories resonate with their own memories and lives.",5
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET02,Elaboration,Exploration of texts,,"Students are encouraged to share their experience and understanding of the world, and make connections with key ideas, concerns and tensions presented in a text.",6
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET02,Elaboration,Exploration of texts,,"They also explore the cultural, social and historical values embedded in the text, and can compare these values with their own.",7
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET02,Elaboration,Exploration of texts,,"It is through these moments of connection that students engage more closely with the reading experience, and draw parallels with their own observations of the world.",8
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET03,Descriptor,Participation in discussions,"Through participation in discussions about their own experiences and the ways they make connections with a text, students develop their own thinking and engage with the ideas of others to extend their understanding of a text.",,9
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET03,Elaboration,Participation in discussions,,"They draw on personal experience and understanding in developing writing about a text, and work to shape their ideas and knowledge into formal essay structures.",10
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET04,Descriptor,Outcome,"For this outcome, students will read and explore one set text, or extracts from the set text (EAL).",,11
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET04,Elaboration,Outcome,,This text must be of a different text type from that selected for study in Unit 2.,12
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET04,Elaboration,Outcome,,The text selected should reflect the interests of the students and be worthy of close study.,13
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET05,Descriptor,Practice,Students are provided with opportunities to practise and extend their writing about texts.,,14
English,English,Year 11,Unit 1,VCEEU1AS1,Area of Study 1 - Reading and exploring texts,VCEEU1AS1RET05,Elaboration,Practice,,"They are given time and support to extend their writing through reflection, editing and feedback.",15
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT01,Descriptor,Effective and cohesive writing,"In this area of study, students engage with and develop an understanding of effective and cohesive writing.",,1
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT01,Elaboration,Effective and cohesive writing,,"They apply, extend and challenge their understanding and use of imaginative, persuasive and informative text through a growing awareness of situated contexts, stated purposes and audience.",2
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT02,Descriptor,Mentor texts,Students read and engage imaginatively and critically with mentor texts that model effective writing.,,3
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT02,Elaboration,Mentor texts,,"Through guided reading of mentor texts, students develop an understanding of the diverse ways that vocabulary, text structures, language features and ideas can interweave to craft compelling texts.",4
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT02,Elaboration,Mentor texts,,"They consider these texts through knowledge of the ways purpose, context (including mode) and audience influence and shape writing.",5
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT03,Descriptor,Shared reading,Both individual and shared reading of mentor texts provides students with opportunities for rich discussion about what constitutes effective writing.,,6
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT03,Elaboration,Shared reading,,Students collaborate through classwork to cultivate their understandings of cohesive and successful texts.,7
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT04,Descriptor,Experimenting with writing,Students employ and experiment with the qualities of effective writing in their own work.,,8
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT04,Elaboration,Experimenting with writing,,"Considering clear purpose, context (including mode) and audiences for their writing, and through engaging with and expanding on ideas drawn from mentor texts and other reading, they extend their creativity, fluency and range.",9
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT04,Elaboration,Experimenting with writing,,"As they craft their texts, students explore text structures and language features, and ideas.",10
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT04,Elaboration,Experimenting with writing,,"They build a varied vocabulary, which can include abstract and technical language, and apply standard and/or non-standard conventions of language, including syntax and spelling, as appropriate.",11
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT04,Elaboration,Experimenting with writing,,"They are also able to explore other forms of non-standard or informal language including colloquial and idiomatic language such as slang or dialects, where appropriate.",12
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT05,Descriptor,Text selection,Teachers and students can negotiate ideas and mentor texts that best fit the context and interests of the cohort.,,13
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT05,Elaboration,Text selection,,Three mentor texts must be studied in depth.,14
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT05,Elaboration,Text selection,,Selection of texts is a school-based decision but can be inspired by the ideas listed in the Framework of Ideas (page 23).,15
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT05,Elaboration,Text selection,,"For details on text selection, see page 13.",16
English,English,Year 11,Unit 1,VCEEU1AS2,Area of Study 2 - Crafting texts,VCEEU1AS2CT05,Elaboration,Text selection,,"Teachers are encouraged to augment this area of study with other print and digital texts, in consultation with their students, and to create meaningful and authentic connections with the experiences of their students to empower them to write confidently.",17
English,English,Year 11,Unit 2,VCEEU2AS1,Area of Study 1 - Reading and exploring texts,VCEEU2AS1RET01,Descriptor,Reading and viewing skills,"In this area of study, students develop their reading and viewing skills, including deepening their capacity for inferential reading and viewing, to further open possible meanings in a text, and to extend their writing in response to text.",,1
English,English,Year 11,Unit 2,VCEEU2AS1,Area of Study 1 - Reading and exploring texts,VCEEU2AS1RET01,Elaboration,Reading and viewing skills,,Students will develop their skills from Unit 1 through an exploration of a different text type from that studied in Unit 1.,2
English,English,Year 11,Unit 2,VCEEU2AS1,Area of Study 1 - Reading and exploring texts,VCEEU2AS1RET02,Descriptor,Analytical writing,"Developing analytical writing about a text provides students with opportunities to build skills to discuss ideas, apply appropriate metalanguage, integrate evidence from a text to support key points, and explore organisational structures such as formal essays.",,3
English,English,Year 11,Unit 2,VCEEU2AS1,Area of Study 1 - Reading and exploring texts,VCEEU2AS1RET03,Descriptor,Practice,Students are provided with opportunities to practise and extend their writing about texts.,,4
English,English,Year 11,Unit 2,VCEEU2AS1,Area of Study 1 - Reading and exploring texts,VCEEU2AS1RET03,Elaboration,Practice,,"They are given time and support to extend their writing through reflection, editing and feedback.",5
English,English,Year 11,Unit 2,VCEEU2AS1,Area of Study 1 - Reading and exploring texts,VCEEU2AS1RET04,Descriptor,Set text,"Students read and explore one set text, or extracts from a set text (EAL).",,6
English,English,Year 11,Unit 2,VCEEU2AS1,Area of Study 1 - Reading and exploring texts,VCEEU2AS1RET04,Elaboration,Set text,,The set text for this area of study must be of a different text type from that studied in Unit 1.,7
English,English,Year 11,Unit 2,VCEEU2AS1,Area of Study 1 - Reading and exploring texts,VCEEU2AS1RET04,Elaboration,Set text,,"Students’ understandings and experiences of the world, as well as supplementary texts, can enrich discussions about key ideas presented in the text.",8
English,English,Year 11,Unit 2,VCEEU2AS1,Area of Study 1 - Reading and exploring texts,VCEEU2AS1RET04,Elaboration,Set text,,"For this reason, the text selected should reflect the interest of the students and be worthy of close study.",9
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA01,Descriptor,Overview,"In this area of study, students consider the way arguments are developed and delivered in many forms of media.",,1
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA01,Elaboration,Overview,,"Through the prism of a contemporary and substantial local and/or national issue, students read, view and listen to a range of texts that attempt to position an intended audience in a particular context.",2
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA01,Elaboration,Overview,,"They explore the structure of these texts, including contention, sequence of arguments, use of supporting evidence and persuasive strategies.",3
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA01,Elaboration,Overview,,"They closely examine the language and the visuals employed by the author, and offer analysis of the intended effect on the audience.",4
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA01,Elaboration,Overview,,Students apply their knowledge of argument to create a point of view text for oral presentation.,5
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA02,Descriptor,Text selection,Suitable texts for study should reflect a variety of persuasive texts.,,6
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA02,Elaboration,Text selection,,"Appropriate texts could be drawn from print, digital, audio and audio visual sources.",7
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA02,Elaboration,Text selection,,"These texts may include speeches, digitally presented texts, opinion and comment pieces, and other texts designed to position audiences in relation to an issue.",8
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA02,Elaboration,Text selection,,"In selecting these texts, teachers should reflect on what students choose to read, view and listen to.",9
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA02,Elaboration,Text selection,,Consideration and time should be given to the explicit teaching of contextual information and cultural knowledge required to support an understanding of the selected issue and texts.,10
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA03,Descriptor,Analysing persuasive texts,"Students practise analysing persuasive texts using note taking, summaries and short-answer questions, and through formal, analytical writing.",,11
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA03,Elaboration,Analysing persuasive texts,,"When working with audio or audio visual texts, they explore elements of spoken language including intonation, volume, pace, pausing and stress, and develop analysis of the ways these elements contribute to argument and the effect on the audience.",12
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA04,Descriptor,Using evidence,Students craft their writing using evidence from the texts to support their analysis.,,13
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA04,Elaboration,Using evidence,,They draft and revise their writing and invite feedback from their teacher and other students to refine their ideas and expression.,14
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA04,Elaboration,Using evidence,,"They aim for coherence, logic and accuracy in their writing.",15
