SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentYears,ListNumber,ListName,TextType,FrameworkIdea,TextCode,Title,Author,Role,Publisher,PublicationYear,ISBN,IsAustralian,YearsOnList,SelectionSubset,Annotation,AdviceToSchools,Sequence
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Films,,VCEENG26TXT001,High Ground,"Johnson, Stephen",director,,2020,,1,4,,"Set after World War I, this Australian film, employing many of the characteristics of a western, follows the intersecting stories of two protagonists: World War I veteran Travis, and Gutjuk, a young boy orphaned when his family is massacred by white settlers. When Gutjuk's Uncle Baywara seeks revenge on the white men who killed his family, Gutjuk enlists the help of Travis to track him down. Filmed and set in the vast landscapes of Arnhem Land, the film addresses the flawed colonial values on which our country was founded, while following Gutjuk's journey of identity. Additionally, the film addresses issues arising from the unrelenting cycle of anger and presents the brutality and tragedy that can arise from this. (Rating: MA 15)

Please note, Departmental advice on the use of MA 15 materials includes the following guidance: 'MA 15 rating - This resource can only be shown to students who are 15 years or older. Schools should only consider showing MA 15 rated resources to students under the age of 15 in exceptional circumstances where it is critical to deliver the educational program and where parent consent has been obtained ... In all cases, students must be supervised by a teacher throughout the viewing/playing.'","Teachers should be aware that some scenes contain violence, both sexual and physical in nature; however, these scenes are utilised by Johnson to contextualise the realities of the colonial impacts on Australia's First Nations Peoples.",1
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Films,,VCEENG26TXT002,Sunset Boulevard,"Wilder, Billy",director,,1950,,0,4,,"Joe is a broke and increasingly desperate writer who becomes trapped in a mansion with ageing and delusional film star Norma Desmond. He is notionally employed to write a script that will enable her to finally make her comeback, but in truth he is only indulging her fantasies while accepting her largesse. Joe's decline is marked by his growing self-loathing, his hopeless attempt at a double life and his strange affinity with Max, Norma's servant and chauffeur ... and former husband.

A film about films, Sunset Boulevard explores illusion and reality and the often dark world of cinema and celebrity. The character of Norma, in particular, offers insight into the concepts of celebrity and fame, and the price of performance. The film also plays with masculinity and femininity, and how these constructions can imprison and distort.

Sunset Boulevard is, by turns, hilarious and hideous, creepy and comic. It features unsettling gothic elements, including a narrator from beyond the grave, a funeral for a chimpanzee and the full sweep of film noir tropes. It won an Academy Award for best story and screenplay (also by Billy Wilder). (Rating: PG)",,2
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Non-fiction texts,,VCEENG26TXT003,We Come with This Place,"Dank, Debra",,Echo Publishing,2022,9781760687397,1,1,,"Debra Dank's extraordinary work We Come with This Place began as a doctoral thesis on narrative theory and semiotics. As such it defies easy classification. Neither a memoir or a biography, it has been called a 'collective narrative', a classification that reflects an understanding of Australia and of belonging. In this collection of stories, Dank provides insight into the complexity of an indigenous understanding of Country, community, relationships to elders, history and indeed an understanding of relationship to narrative as she reflects on identity and connection to place. She tells her own stories, her family's stories, the stories of her people, but also the stories of the land, its animals, plants and geographic features. It illuminates both an understanding of country and an understanding of the power of story and voice to create identity. Its compelling instruction to 'listen' in order to be able to 'see' invites reflection.

Unlike Western convention, language is not used as a binary, where to understand one concept one must understand its opposite. Dank's work reflects the nature of the matrices in indigenous language where meaning is determined by context and relationships and connections are not immediately evident. The text's meaning is derived from an emersion into a fluid understanding of time and space and indigenous people's connection to Country. This is achieved, in part, by the interweaving of different stories that span generations as if time were irrelevant. This careful juxtaposition gives insight into the deep connections that are forged through millennial stewardship of land. While such a narrative, inevitably in a settler society, covers physical, spiritual and geographic assault, the text is overwhelmingly optimistic about the power and future of the individual, family and indigenous experience, and demonstrates how a shared future can be achieved. The text weaves a web of understanding of both people and place, using rich and evocative descriptions of Country, experience and relationships. A circular structure, symbolism, figurative language and other poetic devices are not so much harnessed as offer themselves as vehicles to explore how identity is achieved within landscape and community. This text challenges the Western celebration of individualism as it explores the connections between humans, their world and communities and offers insight into another way of understanding Country, family, community and identity. Mixed with humour and wisdom, Dank explores her own story and its relationship to the past and its role in the future. This honest text does not sentimentalise Australia's settler or indigenous past but instead builds a way in which narrative past and present can be harnessed to weave stories of the world into the future of our country and Country.","This text recounts historically verified accounts of rape, assault and domestic violence. These may be confronting to some readers. It should be noted that stories of this time and place cannot be told in full without such inclusions and that there can be equally confronting unintended consequences of rendering only a sanitised version of Australia's history.",3
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Non-fiction texts,,VCEENG26TXT004,Born a Crime,"Noah, Trevor",,John Murray Press,2017,9781473635302,0,4,,"Trevor Noah, the product of a mixed-race relationship at a time when such a union was illegal, recounts his experiences growing up during and after Apartheid in his memoir Born a Crime: Stories from a South African Childhood. Frank, funny and at times shocking, the memoir offers a contemporary perspective on race issues and examines the ensuing social and economic disenfranchisement Noah experienced as he grew up. As such, he explores the impact of poverty and marginalisation, and the difficulties of forging an identity in a society that sees his very existence as a criminal act.

Over the course of the memoir, Noah details his early childhood with his mother's family and then his stepfather, his high school years navigating the world of girls, and his journey to becoming an entrepreneur, selling bootleg CDs to the local bus drivers and his broader community. Woven into Noah's reflections and anecdotes is the story of his mother, Patricia - a devout, independent woman striving to protect her son from the dangers of their world. Both a strict disciplinarian and a deeply loving woman, Patricia is celebrated for her strength and courage. She is a mother who understands the reality of her country and its history, and is determined to teach her son about surviving in it.","Teachers should be aware that there are some confronting scenes depicting racial and domestic violence. However, the scenes contextualise Noah's life experiences as a mixed-race child living in South Africa and are ultimately tempered by Noah's humour, strength and resilience as he comes to understand his life.",4
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Novels,,VCEENG26TXT005,Regeneration,"Barker, Pat",,Penguin,2014,9780241970768,0,1,,"Regeneration, published in 1991, is the first book in Pat Barker's World War I trilogy. Set in an Edinburgh War Hospital, the novel is centred on army psychiatrist, Dr William Rivers, and his treatment of traumatised and shell-shocked British army officers. Barker's novel incorporates recreations of real historical figures, most significantly anti-war poet Siegfried Sassoon, and this forms the main tension within the plot. Sassoon is a high-profile patient, and his recent anti-war declaration has placed the British army and the war effort under scrutiny. Dr Rivers, whose work is already undermined by accusations that the men he treats are simply cowards avoiding their patriotic duties, is faced with the task of convincing Sassoon to return to the front and to face, once again, the horrors of war.

These horrors faced by soldiers are explored within the novel, as Rivers treats men who have been deeply traumatised and irrevocably damaged by their war experiences. Barker's novel is an exploration of masculinity, societal expectations, class differences, psychological trauma and the treatment of the mentally ill.",,5
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Novels,,VCEENG26TXT006,Jane Eyre,"Brontë, Charlotte",,Penguin Classics,2006,9780141441146,0,2,,"Originally published as Jane Eyre: An Autobiography by Charlotte Brontë (under the pseudonym Currer Bell) in 1847, Jane Eyre is a classic novel from the Victorian period. At its heart, it is an exploration of the inner life of an intelligent woman navigating a complex moral and social world.

As the novel begins, the 10-year-old protagonist is cast into a hostile environment, where she experiences neglect and cruelty under the guise of charity. The reader comes to admire her enormous strength in refusing to adopt the reductive and self-interested morality of those around her. Her journey to adulthood is marked by her physical, moral and spiritual resilience.

Brontë's first-person narration enables the protagonist to converse directly with the reader. Jane's incomplete understanding of the situations she experiences adds to the drama of the story. The text is rich in irony, imagery and symbolism. Readers of the Victorian era enjoyed what they perceived as the romance and Gothic elements of the text, whereas the modern reader is likely to reflect on the values presented more critically. By the novel's end, Jane has taken control of her destiny and achieved an independence of mind that is inspirational.",,6
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Novels,,VCEENG26TXT007,My Brilliant Career,"Franklin, Miles",,Text Classics,2012,9781921922190,1,3,,"Miles Franklin's My Brilliant Career, first published in 1901, is a deservedly admired Australian classic. The story describes the travails of Sybylla Melvyn, whose intelligent and rebellious nature is curbed alike by her gender, her poverty and her isolation in the bush. She longs for music and literature, the theatre and the company of people like herself but spends much of her girlhood in household drudgery, exacerbated by her father's alcoholism. Feisty and unconventional, Sybylla is a very modern heroine who refuses to marry for economic comfort without love. She refuses to conform to society's expectations of feminine behaviour, even when this means conflict with her family. Sybylla's ambition is to be a writer and, through this, to achieve independence.

My Brilliant Career touches on timeless problems such as treatment of the homeless and the situation of married women who have no money of their own, such as Sybylla's mother. Sybylla's voice is fresh, honest and at times lyrical. A reflection on growing up, the book is a view of life in Australia over a century ago that is still relevant today.",,7
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Novels,,VCEENG26TXT008,Chronicle of a Death Foretold,"García Márquez, Gabriel",,Penguin,2014,9780241968628,0,3,,"This novella by Gabriel García Márquez, Colombian novelist, journalist and Nobel Prize winner, explores the events that lead to the killing of a young man. There is no secret that the killing will take place; García Márquez tell us of it in the first line of the novella. The text is not, then, a whodunnit but rather an explication of how such a killing could have happened. Based on a true story, the novella unpacks the attitudes, conventions, prejudices and stereotypes that construct and constrain the players in the drama, that create the multiple truths of the tale, and that begin to explain the many points of failure. This is a beautifully written story, at times funny and at others deeply tragic.

Chronicle of a Death Foretold was first published in 1981, to great acclaim. There is also a film adaptation (made in 1987) of the same name.",Teachers should be aware that there is a description of a murder at the end of the novella.,8
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Novels,,VCEENG26TXT009,Orbital,"Harvey, Samantha",,Vintage,2024,9781529922936,0,1,,"Samantha Harvey's acclaimed novel Orbital, winner of the Booker Prize 2024, follows a day in the life of six international astronauts circling Earth on a space station. Hundreds of miles above Earth, orbiting 16 times per day, the crew go about their daily routines of research, engineering, communication, exercise, eating and sleep, all while contemplating their abstracted view of their distant home planet. Harvey's protagonists grapple with the contrast between the ordinariness of work and life on a space station and the strangeness of their distance from the rest of life on Earth, witnessing the spectacle of 16 sunrises and 16 sunsets in a day, and watching a massive typhoon gathering over the ocean, threatening the people and places they hold dear.

The six astronauts are from Russia, the United States, Japan, the United Kingdom and Italy, and though they have different missions, nationalities and allegiances, in orbit they live and work aligned in a harmony that renders the borders between them almost meaningless. The political tensions, national borders and conflict that might exist between them on Earth leave only a trace on the space station and their collective efforts to survive.

From space, Earth is familiar, fragile and faraway, and the strange perspective offered by distance allows the characters to reflect on the overwhelming beauty of human life on Earth; its vulnerability; our obsession with knowledge and progress; as well as their own memories, choices, ambitions and relationships. The distance from Earth is humbling and Harvey's lyrical prose asks what we miss of the big picture when we are busy with the intricacies of our lives.",,9
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Novels,,VCEENG26TXT010,We Have Always Lived in the Castle,"Jackson, Shirley",,Penguin Classics,2009,9780141191454,0,4,,"We Have Always Lived in the Castle, a 1962 mystery novel, is the final work of American author Shirley Jackson. The theme of persecution of those who exhibit 'otherness' is at the forefront of the novel, explored through the protagonists, Merricat and Constance, who become outsiders in a small town and are reviled by the small-minded villagers. The novel revolves around an unsolved crime: the murder of Merricat and Constance's family six years earlier. Constance was initially blamed for the poisoning but was acquitted at her trial, leaving the public with no clear answer about who was actually to blame. Some aspects of their fraught family life are revealed through the ramblings of slightly confused, wheelchair-user Uncle Julian, who lives with the girls.

The story is narrated by 18-year-old Merricat, who practises sympathetic magic and frequently imagines living on the moon. Her sister Constance has an anxiety disorder. They have cut themselves off from the outside world since the family tragedy. They are strongly attached to each other, and their isolation appears to be a defence against living by the rules and norms of outside society. The arrival of Cousin Charles threatens to disturb the way in which they have been living, so Merricat acts to preserve the power they have over their day-to-day lives. They are shunned by the villagers, some of whom later appear to be penitent and try to make amends.",,10
