SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERH,,,,All questions,,0
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,The 2024 VCE Accounting examination included eight questions consisting of multiple parts.,,1
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,"Most students were able to complete the examination within the 2 hours allocated. While some students did not attempt every question, this appeared to be due to their knowledge of particular topics rather than running out of time, as they missed questions intermittently throughout the examination. It is important that students cover all areas of the VCE Accounting Study Design throughout the course, as all areas are eligible for assessment in the examination.",,2
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,"Effective use of reading time is a skill that should be practised throughout the year. It is important that students ensure that they read each question thoroughly and highlight the key parts of the question before attempting a response. Many students appeared to have misread questions, resulting in inaccurate responses that did not directly address the requirements of the question.",,3
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,"Terminology is a significant component of the VCE Accounting Study Design. Students should gain, and be able to apply, an understanding of all terminology covered within the course, not just the regularly used terms. When responding to theory questions, students should ensure that they support their responses with terminology, in particular terminology that appears in the Study Design. Correct terms need to be used when describing the change in financial indicators.",,4
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,Accounting reports were generally handled well by students. Attention to detail when preparing reports is an important skill.,,5
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERLR,LimitedStrategies,General Comments,ExaminerCommentary,"General Ledger questions were tested throughout the examination, with students being required to post to, balance and close ledger accounts. Most students handled these questions well and were able to score marks for the ledger accounts. Common errors resulting in loss of marks for these questions included the use of incorrect cross-references, reversal of entries and failure to record all entries stipulated within the question.",,6
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,Modelling questions now appear frequently in VCE Accounting examinations. These questions have developed in complexity since their introduction with the current Study Design. Students are generally achieving high scores in this area of the study.,,7
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,The 2024 VCE Accounting examination included one discussion question. It was generally handled well by students.,,8
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,"Note: Student responses reproduced in this report have not been corrected for grammar, spelling or factual information.",,9
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,"This report provides sample answers or an indication of what answers may have included. Unless otherwise stated, these are not intended to be exemplary or complete responses.",,10
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,"The statistics in this report may be subject to rounding, resulting in a total of more or less than 100 per cent.",,11
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,,VCEACERCM,,General Comments,ExaminerCommentary,2024 VCE Accounting external assessment report,,12
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERCM,,Question 1a,ExaminerCommentary,The transaction is a credit purchase of inventory. The business purchased 12 Extreme Hero costumes from Cass Costumes for $155 (plus GST) each.,,13
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERCM,,Question 1a,ExaminerCommentary,The question required students to use the source document provided in the inventory card to determine that it was a credit purchase of inventory.,,14
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1a,ExaminerCommentary,Common errors included:,,15
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1a,ExaminerCommentary,Not referring to credit,,16
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1a,ExaminerCommentary,Not referring to inventory.,,17
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERCM,,Question 1a,ExaminerCommentary,Students should be able to identify the type of transaction that is generated by each type of source document.,,18
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERCM,,Question 1b,ExaminerCommentary,General Journal,,19
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERCM,,Question 1b,ExaminerCommentary,This question required students to identify the nature of a transaction from an inventory card.,,20
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERCM,,Question 1b,ExaminerCommentary,"Students were awarded one mark for the Sales Return and GST Clearing entries, one mark for the Accounts Receivable, and one mark for Inventory and Cost of Sales.",,21
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1b,ExaminerCommentary,Common errors included:,,22
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1b,ExaminerCommentary,Recording the Sales Return as a purchase return,,23
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1b,ExaminerCommentary,Incorrect reference to Sales Returns as Sales,,24
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1b,ExaminerCommentary,Incorrectly calculating the mark-up,,25
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1b,ExaminerCommentary,Reversal of Inventory and Cost of Sales accounts.,,26
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERCM,,Question 1b,ExaminerCommentary,The recording of general journal entries from source documents requires a detailed understanding of a variety of source documents. Students should practise recording transactions directly from source documents.,,27
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERCM,,Question 1c,ExaminerCommentary,This question required students to explain why Blozzo Bazaar would use different cost-assignment methods for differently priced inventory.,,28
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1c,ExaminerCommentary,Lower-scoring responses explained the difference between the First In First Out (FIFO) and Identified Cost assignment methods but were not able to justify their use.,,29
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERER,EnhancedStrategies,Question 1c,ExaminerCommentary,"To achieve full marks, students were required to justify why the business would use the First In First Out cost assignment method for low-cost inventory and Identified Cost for higher-cost inventory. Responses that referred to the accuracy of each method for determining cost of sales and inventory valuation and provided a definition of each method were awarded full marks.",,30
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1c,ExaminerCommentary,Common errors included:,,31
Business and Economics,Accounting,Year 12,Final Exam,Post Exam Report,2024,,VCEACER,VCEAC24EQ1,VCEACERLR,LimitedStrategies,Question 1c,ExaminerCommentary,Defining the methods but not justifying why a method would be chosen,,32
