SubjectArea,Subject,Band,Unit,AreaofStudy,FWKeyIdea,FWKIElaboration
English,English,Year 12,Unit 3,Framework of Ideas,Writing about country,Exploration of place and belonging.
English,English,Year 12,Unit 3,Framework of Ideas,Writing about country,"Explorations of physical land and country, local and international, loss of country and dispossession, remembering country and nostalgia, migration, the power of connections with land, climate change and the changing landscape, and imagined countries."
English,English,Year 12,Unit 3,Framework of Ideas,Writing about country,"Students could engage with experiences like farming and land management, and with cultural expressions like country music."
English,English,Year 12,Unit 3,Framework of Ideas,Writing about country,Others could explore traditional understandings of Country through Aboriginal and Torres Strait Islander knowledge and perspectives.
English,English,Year 12,Unit 3,Framework of Ideas,Writing about protest,"Explorations of conflict and contest, what it means to protest, the value of protest, the outcomes of protest, personal stories of protest, struggle and war."
English,English,Year 12,Unit 3,Framework of Ideas,Writing about protest,"Students could explore established figures like Martin Luther King Jr, Rosa Parks and Vida Goldstein, marginalised figures like Pemulwuy and Claudette Colvin, and figures and movements like Greta Thunberg and the BLM protests."
English,English,Year 12,Unit 3,Framework of Ideas,Writing about protest,Events like massacres in Australia and the Frontier Wars could be explored as expressions of protest – and the attendant tragedy.
English,English,Year 12,Unit 3,Framework of Ideas,Writing about protest,There could also be explorations of the success and failure of protest – and the prescient protests that gained ground after the original protest had faded.
English,English,Year 12,Unit 3,Framework of Ideas,Writing about protest,Students could consider individual protest and group protest.
English,English,Year 12,Unit 3,Framework of Ideas,Writing about personal journeys,"Explorations of ‘life’ or biographical explorations – telling our stories, telling others’ stories, the problem of telling stories, appropriation of stories, who tells the stories and our history, missing stories, marginalised and elevated stories."
English,English,Year 12,Unit 3,Framework of Ideas,Writing about personal journeys,"Students could explore personal milestones, the effects of key events on their lives, or explore these ideas through the eyes of others."
English,English,Year 12,Unit 3,Framework of Ideas,Writing about personal journeys,Students who have migrated can explore their stories of movement and disruption.
English,English,Year 12,Unit 3,Framework of Ideas,Writing about personal journeys,"They can explore the expectations of change, and the language of a new place and culture."
English,English,Year 12,Unit 3,Framework of Ideas,Writing about play,Explorations of experiences and traditions of play and playing in many cultures and through history.
English,English,Year 12,Unit 3,Framework of Ideas,Writing about play,"Students could explore play as it is applied to games, sport, acting and make-believe, music, language and images."
English,English,Year 12,Unit 3,Framework of Ideas,Writing about play,"They could also explore concepts of collaboration and connection, digital vs analogue, rules and rule breaking."
English,English,Year 12,Unit 3,Framework of Ideas,Writing about play,"There is scope to consider the ways play and play acting can represent the ‘real’ world, and to explore issues associated with using play or play acting to minimise or mitigate against events or actions."
