SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMER,,VCEBMERAH,,,,Section A: Section A,,0
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMERA,VCEBM24EQA1,VCEBMERACM,,Question 1a,ExaminerCommentary,"This question required students to both refer to and describe one of the key elements of the operating system and then link the chosen element to the business, Sammah's Foodz.",,1
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMERA,VCEBM24EQA1,VCEBMERALR,LimitedStrategies,Question 1a,ExaminerCommentary,"The key elements in the operations system are inputs, processes and outputs. Some responses did not name an element, while others did not adequately describe the element selected. When applying the 'process' element, responses often focused on the new technology as a process rather than recognising that technology is an input. When using technology as a process, the focus must be on what the technology is doing. To describe a process, students are encouraged to use verbs. For Sammah's Foodz, verbs such as mixing, cutting, packaging and freezing are examples that describe acceptable processes. Responses that focused on outputs were generally strong, providing both a general explanation of outputs and a specific application to the business output (frozen savoury food).",,2
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMERA,VCEBM24EQA1,VCEBMERAER,EnhancedStrategies,Question 1a,StudentResponse,The following is an example of a high-scoring response.,"Inputs refer to the resources used to make a business' goods or services, such as raw materials, equipment or labour. Some inputs at Samaah's Foodz include the ingredients used to make the savoury foods that are frozen, as well as the freezers used to freeze and store the product. Additionally, the employees employed to stack the frozen savoury food items are an input.",3
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMERA,VCEBM24EQA1,VCEBMERAER,EnhancedStrategies,Question 1b,ExaminerCommentary,"This question required students to demonstrate their understanding of a low-risk strategy for change. The low-risk strategies for change identified in the study design include communication, empowerment, support and incentives. Training and counselling were also considered appropriate strategies. A high-scoring response needed to explain how the selected strategy could be used to reduce employee resistance to change at Sammah's Foodz (either the introduction of new technology or reduction of waste).",,4
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMERA,VCEBM24EQA1,VCEBMERACM,,Question 1b,ExaminerCommentary,"When using 'support' as a low-risk strategy, it is important that the type of support offered to employees is explained. Students who were able to do this by linking support to counselling, for example, were able to access full marks.",,5
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMERA,VCEBM24EQA1,VCEBMERACM,,Question 1b,ExaminerCommentary,"Students are reminded that they must respond to all parts of the question to be awarded full marks. In this case, they were required to clearly explain how the chosen strategy would reduce resistance to change at Sammah's Foodz. Simply using the name of the business in the response was not sufficient; the response needed to link the introduction of new technology or waste reduction to plausible employee concerns about one or both of these changes.",,6
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMERA,VCEBM24EQA1,VCEBMERAER,EnhancedStrategies,Question 1b,StudentResponse,The following is an example of a high-scoring response.,"One low risk strategy Sammah's Foodz could use is communication, which is the transferring of information (about the change to introduce new technology to broaden products and reduce waste) to employees. The communication of this change should openly and honestly outline the reasons and benefits for changing, including to achieve the new goals of broadening products and reducing waste, as well as communicating consequences of not changing. By allowing employees to clearly understand the reasons for change in order to remain competitive, they are more likely to accept the change and thus employee resistance can be overcome.",7
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMERA,VCEBM24EQA1,VCEBMERACM,,Question 1c,ExaminerCommentary,"This question required students to demonstrate an understanding of how the strategies of reduce, reuse and recycle could be used to reduce waste at Sammah's Foodz.",,8
Business and Economics,Business Management,Year 12,Final Exam,Post Exam Report,2024,,VCEBMERA,VCEBM24EQA1,VCEBMERAER,EnhancedStrategies,Question 1c,ExaminerCommentary,"Responses that scored well clearly described how each of these strategies could be implemented. When explaining 'reduce', many students were able to make links to inventory control systems such as Just in Time, showing a clear understanding of how this strategy may be used.",,9
