SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Business and Economics,Legal Studies,,,"VCELSU1AS1,VCELSU1AS2,VCELSU1AS3,VCELSU2AS1,VCELSU2AS2,VCELSU2AS3,VCELSU3AS1,VCELSU3AS2,VCELSU4AS1,VCELSU4AS2",,,,Header,,Business and Economics - Legal Studies,Legal Studies - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/legal-studies/teaching-and-learning,0
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"To develop an understanding of the role of law and the legal system, identify and explain the differences and similarities between your school's rules and legal rule (laws) enforced by the government. List the five school rules and the five laws you consider most important and explain reasons for these selections: How do these rules and laws control behaviours and why is it necessary for each to be in place?",,,,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"'Man is born free, and everywhere he is in chains' (Rousseau). In order to understand the apparently contradictory roles of laws both in promoting and restricting individual freedoms, research the introduction of compulsory seatbelt legislation in Victoria, laws making compulsory fencing around suburban pools, and compulsory wearing of bike helmets. Focus on the protections these laws provide as an introduction to the concept of social cohesion.",,,,2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Work in groups to identify the types of laws that apply to the daily lives of Victorians in order to understand and reinforce the fact that not all law is criminal law, and a broad scope of laws affect us; such as: employment laws, food production and hygiene laws, workplace safety laws, etc. Design a graphic illustrating the different categories or types of laws people are subject to as Victorian citizens.",,,,3
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Use laws that govern obtaining a Victorian licence to drive a car as an example of a law that works to achieve social cohesion and the role of laws in protecting individual rights. Complete a written task in response to the following: 
'Everyone of a certain age in Victoria is free to drive a car, but no-one is free to drive a car freely.' Explain how Victoria's road laws both protect the rights of individuals and create social cohesion.",,,,4
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Learn about the concept of 'the rule of law' to reinforce social cohesion, then contrast the operation of the rule of law in Australia with the lack of social cohesion in countries where legal systems do not promote individual rights, but instead accumulate power for elites, and countries where anarchy results from lawlessness; for example: Yemen, Syria, Sudan, Eritrea.",,,,5
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,Hold a class discussion on why Australian citizens display a respect for laws. Discuss: What is understood by the word 'justice' and the concept of 'just laws'? Research South Africa's previous apartheid regime and consider why their laws were considered unjust?,,,,6
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Research the latest statistics of the 'Closing the Gap' program in Australia and consider why gaps in educational attainment, life expectancy and health standards between Indigenous and non-Indigenous Australians might be considered unjust.",,,,7
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Learn about the principles of justice: fairness, equality and access. Create a glossary of these principles to use throughout the VCE Legal Studies course (Units 1-4). Consider the Black Lives Matter protest movement as an illustration of the importance of these principles.",,,,8
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Fairness: that all citizens will receive impartial, independent and unbiased treatment in the application of the law and the operation of legal systems (e.g. an independent judge, an unbiased jury in a criminal trial).","Learn about the principles of justice: fairness, equality and access. Create a glossary of these principles to use throughout the VCE Legal Studies course (Units 1-4). Consider the Black Lives Matter protest movement as an illustration of the importance of these principles.",,,9
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,Access: that all citizens are aware of their legal rights and are able to exercise them.,"Learn about the principles of justice: fairness, equality and access. Create a glossary of these principles to use throughout the VCE Legal Studies course (Units 1-4). Consider the Black Lives Matter protest movement as an illustration of the importance of these principles.",,,10
