SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS12,,,,UnitHeader,,Unit 1: The presumption of innocence,,,0
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS12,,,,Paragraph,,Unit 1: The presumption of innocence,"Laws, including criminal law, aim to achieve social cohesion and protect the rights of individuals. Criminal law is aimed at maintaining social order. When a criminal law is broken, a crime is committed which is punishable and can result in criminal charges and sanctions.",,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS12,,,,Paragraph,,Unit 1: The presumption of innocence,"In this unit, students develop an understanding of legal foundations, such as the different types and sources of law, the characteristics of an effective law, and an overview of parliament and the courts. Students are introduced to and apply the principles of justice. They investigate key concepts of criminal law and apply these to actual and/or hypothetical scenarios to determine whether an accused may be found guilty of a crime. In doing this, students develop an appreciation of the manner in which legal principles and information are used in making reasoned judgments and conclusions about the culpability of an accused. Students also develop an appreciation of how a criminal case is determined, and the types and purposes of sanctions. Students apply their understanding of how criminal cases are resolved and the effectiveness of sanctions through consideration of recent criminal cases from the past four years.",,2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF01,Descriptor,,Legal foundations,This area of study provides students with foundational knowledge of laws and the Australian legal system.,,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF01,Elaboration,,Legal foundations,,"Students explore the role of individuals, laws and the legal system in achieving social cohesion and protecting the rights of individuals.",2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF01,Elaboration,,Legal foundations,,"Students consider the characteristics of an effective law, and sources and types of law.",3
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF01,Elaboration,,Legal foundations,,"They examine the relationship between parliament and the courts in law-making, and the reasons for a court hierarchy in Victoria, they also develop an understanding of the principles of justice.",4
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF02,Descriptor,,Legal foundations,"On completion of this unit the student should be able to describe the main sources and types of law, and evaluate the effectiveness of laws.",,5
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG01,Descriptor,,Proving guilt,The presumption of innocence is a fundamental principle of criminal law and provides a guarantee that an accused is presumed innocent until proven guilty beyond reasonable doubt.,,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG01,Elaboration,,Proving guilt,,"In this area of study, students develop an understanding of the purposes of and key concepts in criminal law, as well as the types of crime.",2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG01,Elaboration,,Proving guilt,,They also investigate two criminal offences in detail.,3
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG01,Elaboration,,Proving guilt,,"For each offence, students consider actual and/or hypothetical scenarios in which an accused has been charged with the offence, use legal reasoning to determine possible culpability and explain the impact of the offence on individuals and society.",4
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG02,Descriptor,,Proving guilt,"On completion of this unit the student should be able to explain the purposes and key concepts of criminal law, and use legal reasoning to argue the criminal culpability of an accused based on actual and/or hypothetical scenarios.",,5
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG03,Descriptor,,Proving guilt,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.,,6
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S01,Descriptor,,Sanctions,"The criminal justice system determines the guilt of an accused, and imposes sanctions on offenders.",,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S01,Elaboration,,Sanctions,,"In this area of study, students investigate key concepts in the determination of a criminal case, including the institutions that enforce criminal law, the purposes and types of sanctions, and alternative approaches to sentencing such as the Drug Court, Koori Courts and diversion programs.",2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S01,Elaboration,,Sanctions,,Students compare approaches to sentencing in Victoria to one other Australian jurisdiction.,3
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S01,Elaboration,,Sanctions,,"Through an investigation of criminal cases from the past four years, students apply their knowledge to discuss the effectiveness of sanctions and the ability of the Victorian criminal justice system to achieve the principles of justice.",4
