SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Business and Economics,Economics,,,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",,,,,Header,,Business and Economics - Economics,Economics - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/economics/vce-economics,0
Business and Economics,Economics,Year 11,Unit 1,VCEECU1,,,,,UnitHeading,Unit 1: Economic decision-making,,,,1
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,,,OutcomeHeading,Outcome 1,,,,1
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,,,OutcomeDescription,"On completion of this unit the student should be able to describe the basic economic problem, discuss the role of consumers, businesses and the government in the economy, and analyse the factors that affect economic decision-making.",,,,2
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,VCEECU1AS1O1KS,Activity,Bullet,"Analyse an economics related opinion piece, identifying both the normative and positive statements within it.",,,,4
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,VCEECU1AS1O1KK,Activity,Bullet,"Assign students to take a series of photographs to illustrate the needs and wants of people of different ages; for example, 0-5 years, 6-12 years, 13-18 years and different adult age demographics.",,,,5
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,VCEECU1AS1O1KK,Activity,Bullet,Use hypothetical data to graph various production possibility curves and then explain the meaning and significance of the production possibility frontier.,,,,6
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,VCEECU1AS1O1KK,Activity,Bullet,"Consider the opportunity cost of decisions made by VCE students: school choice, subject or sport choice, diet choice etc. Complete a cost benefit analysis for these decisions.",,,,7
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,VCEECU1AS1O1KK,Activity,Bullet,Complete a set of structured questions relating to different economic systems.,,,,8
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,VCEECU1AS1O1KK,Activity,Bullet,Conduct a class discussion explaining why there are inevitably trade-offs associated with any economic decision.,,,,9
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,VCEECU1AS1O1KK,Activity,Bullet,Conduct a class debate / simulation in response to a topical issue to illustrate real world trade-offs.,,,,10
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,VCEECU1AS1O1KK,Activity,Bullet,"Using examples, consider the limitations of the traditional economic viewpoint of consumer behaviour.",,,,11
Business and Economics,Economics,Year 11,Unit 1,VCEECU1AS1,Area of Study 1 - Thinking like an economist,Outcome 1,VCEECU1AS1O1KK,Activity,Bullet,"Write a short movie script or story with homo economicus (self -interested, utility maximising, marginal decision making) as the main character.",,,,12
