SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
English,Literature,,,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",,,,Header,,English - Literature,Literature - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/literature/teaching-and-learning,0
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,Activity,Bullet,"Create a reading profile (this can be done electronically in a social media structure; for example, a Facebook page, Insta profile, Twitter account) and describe in written and visual form the literature you enjoy reading and why. Discuss individual profiles and write down what your peers' reading practices entail; share profiles and compare the diversity in the room. As a class, tally which literary texts and reading practices are popular and why.",,,,1
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,Activity,Bullet,"Analyse texts (based on a list of reading practices provided by the teacher) and explain why this approach is effective when constructing interpretations. Outline your own views and values as readers, linking this to your own cultural beliefs.",,,,2
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,Activity,Bullet,Explore the differences between an English analytical response and a Literature close analysis response by analysing extracts from two selected sample responses.,,,,3
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,Activity,Bullet,"Assess and analyse three different sample Literature close analysis responses, identifying the key skills (see study design) of close analysis and as a class, construct criteria for close analysis (must be based on the key skills in the study design).",,,,4
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,Activity,Bullet,"Write a close analysis of an extract of a favourite literary work (teachers may want to provide extracts). In small groups or as a whole class, share both the favourite literary extracts and the close analyses. Feedback from teacher and students is based on the close analysis criteria constructed by the class. Redraft responses based on this feedback and set close analysis writing goals, or retain the feedback to be applied in a later close analysis response.",,,,5
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,Activity,Bullet,"As a class, annotate an extract or short text.",,,,6
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExample,Paragraph,Class annotation of a text,,,,7
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Paragraph,Using a selected piece of text:,,,,8
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,Use different colours to annotate a series of readings.,,,,9
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,The first reading of the text focuses on comprehension - define any unknown words and write initial questions.,,,,10
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"In the second reading, annotate anything of significance, justifying these choices in the margins.",,,,11
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"In the third reading, annotate based on the literary forms, features and language of the text.",,,,12
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"In the final reading, annotate the ideas and values represented in the text.",,,,13
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Share these annotations with one other student and incorporate at least three annotations from them. Also, discuss the initial questions each student had about the text.",,,,14
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Reflect on the similarities and differences between these annotations, considering the values underpinning these interpretations.",,,,15
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,Present initial annotations to the whole class and explain how the thinking about the text changed after exploring another student's annotations.,,,,16
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Write a close analysis based on these annotations; share this response with another student, taking on board some of their ideas.",,,,17
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Focus on examining beliefs, values and understandings of a text.",,,,18
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExample,Paragraph,Values and beliefs in a text,,,,19
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Conduct a book forum and share responses to the text. Focus on examining which beliefs, values and understandings of the world influenced the response to the text.",,,,20
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Read and / or watch interviews with the author about the text, or critics reviewing the work. Reflect on and explore ways in which the views presented coincide with, or differ from the views held by the class.",,,,21
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Read different viewpoints about the text; for example, extracts from review articles, academic journals or blogs). Place these viewpoints on a continuum that makes clear the degree to which they either agree or disagree about aspects of the text.",,,,22
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Individually, explain and justify the perspective of each viewpoint, and write a short comment about the text that can be displayed in the classroom.",,,,23
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,Reflect on how the initial interpretation changed once reading other viewpoints.,,,,24
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Paragraph,[Note: these activities can be used to review a student's annotations or full close analysis of a text and to develop annotations or close analysis writing based on other interpretations.],,,,25
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Select a favourite extract from the text or a favourite short text studied in class. Write and present a close analysis, including detailed annotations.",,,,26
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Reflect on the close analysis, explaining particular parts of the text and exploring views and values.",,,,27
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,"Present an interpretation by a fellow student or a critic, analysing how the text has been interpreted, and taking note of the parts that are inspiring and could be drawn into your own analysis.",,,,28
English,Literature,Year 11,Unit 1,VCELIU1AS1,Area of Study 1 - Reading practices,Outcome 1,DetailedExampleStep,Bullet,Explain how your interpretation developed after working with another interpretation.,,,,29
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,"Research aspects of a focus genre / movement, looking at different examples from the genre or movement, and looking at different authors in the genre / movement. Produce information sheets / webpages for the use of the class.",,,,1
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,"Respond to teacher-generated questions about the text (either in person, or via an anonymous survey) to establish areas of interest, confusion and understanding. These questions form the basis of each lesson.",,,,2
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,Design a front cover or advertising poster for the 'whole text' under study that reflects an understanding of the genre of the text.,,,,3
