SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,SectionCode,VerbsHeader,VerbsDescription,VerbsTerm,VerbsDefinition,VerbsClosing,VerbsDefinitionSource,VerbsIsNew,Sequence
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,Verbs used in topics,"Please note there is no definitive list of verbs used by the examination panel to explore the way in which meaning is conveyed by an author and new terms are regularly introduced.
Students would do well to develop their understanding of such terms. Terms are often nominalised in topics and students should be prepared for this",,,,,,1
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Attempts,"To make an effort to achieve, demonstrate, or convey something; to try to accomplish a particular interpretation, argument, or effect within the text",,LLM-generated,N,2
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Challenges,"To question, dispute, or test the validity of an idea, value, assumption, or established norm presented in or through the text",,LLM-generated,N,3
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Defends,"To argue in support of or justify a position, value, character, or idea; to present evidence that upholds or protects something from criticism",,LLM-generated,N,4
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Demonstrates,"To show clearly through evidence, examples, or argument; to make evident or prove a point about the text's ideas or values",,LLM-generated,N,5
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Determines,"To be the decisive factor in shaping, influencing, or controlling an outcome, character's fate, or thematic development",,LLM-generated,N,6
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Explores,"To examine, investigate, or consider in depth; to look at multiple aspects, perspectives, or implications of an idea, theme, or value",,LLM-generated,N,7
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Interplays,"To show how two or more elements interact with, influence, and affect each other reciprocally; to examine the dynamic relationship between concepts",,LLM-generated,Y,8
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Portrays,"To represent, depict, or characterise; to present a particular image, interpretation, or understanding of a character, setting, or idea",,LLM-generated,N,9
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Re-enforces,"To strengthen, support, or give additional weight to an idea, value, or theme; to confirm or intensify through repetition or emphasis",,LLM-generated,N,10
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Reveals,"To make known, uncover, or disclose something previously hidden or not immediately apparent about characters, themes, or values",,LLM-generated,N,11
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Shapes,"To influence, form, or determine the nature, development, or outcome of something; to mould understanding or perception",,LLM-generated,N,12
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,Shows,"To present, display, or make visible; to demonstrate through the text's content, structure, or language how something is represented",,LLM-generated,N,13
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAV,,,,,Or the use of a linking verb to imply there is a direct connection by use of is/are or is not/are not,,,14
