SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS12,,,,UnitHeader,,Unit 1: The role of accounting in business,,,0
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS12,,,,Paragraph,,Unit 1: The role of accounting in business,"This unit explores the establishment of a business and the role of accounting in the determination of business success or failure. It considers the importance of accounting information to stakeholders. Students analyse, interpret and evaluate the performance of the business using financial and non-financial information. They use these evaluations to make recommendations regarding the suitability of a business as an investment.",,1
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS12,,,,Paragraph,,Unit 1: The role of accounting in business,Students record financial data and prepare reports for service businesses owned by sole proprietors.,,2
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS12,,,,Paragraph,,Unit 1: The role of accounting in business,"Where appropriate, the accounting procedures developed in each area of study should incorporate the application of the IASB's Conceptual Framework and financial indicators to measure business performance. They should also take into account the ethical considerations, including financial, social and environmental considerations, faced by business owners when making business decisions.",,3
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,VCEACU1AS1RA01,Descriptor,,The role of accounting,"Individuals should consider a range of factors before committing to, or continuing in a business venture.",,1
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,VCEACU1AS1RA01,Elaboration,,The role of accounting,,"In this area of study, students investigate the reasons for establishing a business as well as possible alternatives to operating a business.",2
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,VCEACU1AS1RA01,Elaboration,,The role of accounting,,"They explore types of business ownership, factors that lead to the success or failure of a business, sources of business finance, and ethical considerations.",3
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,VCEACU1AS1RA01,Elaboration,,The role of accounting,,"They develop an understanding of the role and importance of accounting in operating a business, and consider how accounting is used to provide information for making operational and investment decisions.",4
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,VCEACU1AS1RA02,Descriptor,,The role of accounting,"On completion of this unit, the student should be able to describe the resources required to establish and operate a business, and select and use accounting reports and other information to discuss the success or otherwise of the business.",,5
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,VCEACU1AS1RA03,Descriptor,,The role of accounting,"To achieve this outcome, the student will draw on key knowledge and key skills outlined in Area of Study 1.",,6
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,,Area of Study 2 - Recording financial data and reporting accounting information for a service business,VCEACU1AS2RFDRA01,Descriptor,,Recording financial data and reporting accounting information for a service business,"In this area of study, students investigate the role of accounting in generating financial data and accounting information.",,1
