SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,EQCode,EQGradeCode,Mark,Grade,EQSection,EQHeader,EQSkill,EQDescription,Sequence
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,,,,A,"Expected qualities for the mark range:

Section A - Short-answer questions",,,1
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAHI,high,High,A,,High Student:,"Demonstrates detailed knowledge of the text, supported by relevant examples/evidence",2
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAHI,high,High,A,,,Uses appropriate and effective metalanguage,3
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAHI,high,High,A,,,Includes consistent use of features of written discourse,4
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAMD,medium,Medium,A,,Medium Student:,"Demonstrates sound knowledge of the text, supported by some examples/evidence",5
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAMD,medium,Medium,A,,,Uses relevant metalanguage,6
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAMD,medium,Medium,A,,,Includes some features of written discourse,7
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQALO,low,Low,A,,Low Student:,"Demonstrates limited knowledge of the text, and includes few examples",8
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQALO,low,Low,A,,,Uses little to no metalanguage,9
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQALO,low,Low,A,,,Includes few features of written discourse,10
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,,,,B,"Expected qualities for the mark range:

Section B - Analytical commentary",,,1
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB15,15,A+,B,,A+ Student:,"Demonstrates confident and detailed analysis of the language, with sophisticated discussion of a range of characteristics and features of the language in the text",2
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB15,15,A+,B,,,"Shows excellent understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and of the influence of contextual factors on the language used",3
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB15,15,A+,B,,,Includes highly relevant examples and evidence from the text to support the analysis,4
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB15,15,A+,B,,,Includes highly appropriate and effective use of metalinguistic tools in commenting on the features of language used,5
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB15,15,A+,B,,,"Includes tightly structured commentary, with controlled and effective use of the features of written discourse",6
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB14,14,A+,B,,A+ Student:,"Demonstrates confident and detailed analysis of the language, with sophisticated discussion of a range of characteristics and features of the language in the text",7
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB14,14,A+,B,,,"Shows excellent understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and of the influence of contextual factors on the language used",8
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB14,14,A+,B,,,Includes highly relevant examples and evidence from the text to support the analysis,9
