SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Business and Economics,Business Management,,,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",,,,,Header,,Business and Economics - Business Management,Business Management - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/business-management/teaching-and-learning,0
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1,,,,,UnitHeading,Unit 1: Planning a business,,,,1
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,,,OutcomeHeading,Outcome 1,,,,1
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,,,OutcomeDescription,"On completion of this unit the student should be able to describe a process for creating and developing a business idea, and explain how innovative and entrepreneurial practices can contribute to the national economy and social wellbeing.",,,,2
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,VCEBMU1AS1O1KK,Activity,Bullet,Develop a glossary of key business management terms.,,,,4
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,VCEBMU1AS1O1KS,Activity,Bullet,"Collect and analyse current newspaper articles and other media material (such as podcasts or video interviews) illustrating the development of business ideas, entrepreneurship and business innovation.",,,,5
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,VCEBMU1AS1O1KK,Activity,Bullet,"Construct a profile or brief biography of a successful business person or entrepreneur and identify the skills, attributes and characteristics they demonstrate.",,,,6
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,VCEBMU1AS1O1KK,Activity,Bullet,"Undertake an icebreaker activity looking at the development of business ideas and considering possibilities outside the normal 'square' of business operations; for example, lateral-thinking problem-solving puzzles such as the 'nine dot problem' where the solution is to think outside the square.",,,,7
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,VCEBMU1AS1O1KK,Activity,Bullet,"Conduct a teacher-led experiential activity, 'I've got a business idea', that encourages innovation and consideration of new business ideas and how to develop them.",,,,8
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,VCEBMU1AS1O1KK,Activity,Bullet,"Select an item from the classroom; then in small groups, brainstorm a range of ways the product could be changed to improve it. Consider improvements to both the use and the look of the product.",,,,9
Business and Economics,Business Management,Year 11,Unit 1,VCEBMU1AS1,Area of Study 1 - The business idea,Outcome 1,VCEBMU1AS1O1KK,Activity,Bullet,"List a range of problems experienced in the daily life of the school and brainstorm a range of solutions to solve these. Pose questions such as 'Can you make the process better or use technology to make your experience better and solve the problem?' (for example, buses with electronic signalling to turn traffic lights green on their approach to speed up student travel time to home).",,,,10
