SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSER,,VCETSERAH,,,,Section A: The Tempest,,0
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,,VCETSERACM,,Section A - General Comments,ExaminerCommentary,"Section A of the examination included two questions. Question 1 was worth 20 marks and comprised five parts, while Question 2 comprised two parts and was worth 10 marks. Students were required to select one of eight production roles from a list when answering Question 1. Students were required to select a different production role when answering Question 2 of Section A. The options for production roles were actor, director or designer (costume, hair and make-up, props, set, lighting and sound).",,1
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1,ExaminerCommentary,"In Question 1 of Section A, students were required to apply knowledge of one production role and the production process to realise a storm scene from The Tempest. In the planning stage of the production process (parts a and b of Question 1), students were required to recontextualise The Tempest to reflect the attitudes, beliefs and values of a contemporary Australian audience. Students needed to select an aspect of the play and one of five listed themes, and refer to supplied dramaturgical information, when answering Question 1a.",,2
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,"When answering parts a and b, aspects of the play that students chose to recontextualise included:",,3
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,"Characters (e.g. several actors playing Ariel, Prospero played by a female)",,4
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,"Settings and era (e.g. Australia, Pacific Islands, late 17th century, contemporary corporate world).",,5
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,"Many students selected the theme of 'colonisation' and/or 'use and misuse of power' when answering Question 1a., while other students chose 'revenge and forgiveness', 'environmental challenges' and/or 'freedom and restriction' for their theme(s).",,6
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,"After explaining how they would apply their selected production role to recontextualise one or more aspects of The Tempest, students were asked to explain how work in their selected production role could realise the storm scene that occurs early in the play.",,7
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,Six moments from the storm scene were listed and students were required to select from this list when explaining how they would work during the planning stage to realise the storm scene in their selected context.,,8
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,Planning activities discussed in student responses included:,,9
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,Creating a mood board and/or initial sketches,,10
