SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Humanities,Sociology,,,,,,,,Header,,Humanities - Sociology,Sociology - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/sociology/teaching-and-learning,0
Humanities,Sociology,Year 11,Unit 1,VCESOU1,,,,,UnitHeading,Unit 1,,,,1
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,Area of Study 1 - Category and experience of youth,Outcome 1,,,OutcomeHeading,Outcome 1,,,,1
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,Area of Study 1 - Category and experience of youth,Outcome 1,,,OutcomeDescription,Describe the nature of sociological inquiry and discuss youth as a social category.,,,,2
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,Area of Study 1 - Category and experience of youth,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,Area of Study 1 - Category and experience of youth,Outcome 1,VCESOU1AS1O1KS,Activity,Bullet,"Describe the person you are by using the sociological imagination and addressing Willis' four interrelated facets of social phenomena: historical, cultural, structural and critical factors.",,,,4
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,Area of Study 1 - Category and experience of youth,Outcome 1,VCESOU1AS1O1KK,Activity,Bullet,"View an episode of Old People's Home For Teenagers, then construct a table that identifies sociological similarities and differences between the social categories of youth and the elderly. Discuss the social category of youth and how using social categories assists in the analysis of social change and its place in sociological discourse.",,,,5
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,Area of Study 1 - Category and experience of youth,Outcome 1,VCESOU1AS1O1KK,Activity,Bullet,"Examine how social categories change across generations by questioning relatives, parents and grandparents or members of your community from different generations about their experience of youth. Areas of focus could include levels of individual freedom and parental control, the nature of schooling, job choices and opportunities, the place of music and fashion in their social identification, the impact of different technology and participation in online communities, and the positive and negative impacts of stereotypes applied to young people. Prepare a report summarising significant generational differences of the youth social category.",,,,6
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,Area of Study 1 - Category and experience of youth,Outcome 1,VCESOU1AS1O1KK,Activity,Bullet,"Curate an online playlist of five songs targeted towards a subculture of young people from any era; the relevance of the selected tracks must be described on the webpage and the artwork must include images symbolic of youth from the targeted era and subculture. Select songs that define the generation and subculture in terms of stereotypes, social issues, messages about the era, use of technology, and participation in online communities (if any).",,,,7
Humanities,Sociology,Year 11,Unit 1,VCESOU1AS1,Area of Study 1 - Category and experience of youth,Outcome 1,VCESOU1AS1O1KK,Activity,Bullet,"Produce an image collage report about a particular generation, using photographs, cartoon images, audio clips, visual clips, posters, advertisements, magazines, newspaper articles, etc. to explore cultural, social, economic and technological factors leading to differences in the experience of being young. (Generations may include: iGen, Gen Z or Centennials, Millennials or Gen Y, Generation X, Baby Boomers, Traditionalists or Silent Generation).",,,,8
