SubjectArea,Subject,Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
English,English as an Additional Language,Level AL,VC2EALALL01,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL02,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL03,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL04,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL05,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL06,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL07,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL08,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL09,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL10,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL11,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL12,VCEALA012,Distinguish English from other languages,Moved,In Version 1.0 this content description appeared in Level A1. This was moved to Level AL in Version 2.0 to acknowledge that this is the first level in the curriculum where students begin working with English.
English,English as an Additional Language,Level AL,VC2EALALL13,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL14,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALL15,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR01,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR02,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR03,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR04,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR05,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR06,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR07,,,New,In Version 1.0 this content description appeared in Level A1. This was moved to Level AL in Version 2.0 to acknowledge that this is the first level in the curriculum where students begin working with English.
English,English as an Additional Language,Level AL,VC2EALALR08,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR09,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR10,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALR11,VCEALA013,Use some features of home language,Moved,In Version 1.0 this content description appeared in Level A1. This was moved to Level AL in Version 2.0 to acknowledge that this is the first level in the curriculum where students begin working with English.
English,English as an Additional Language,Level AL,VC2EALALR12,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW01,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW02,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW03,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW04,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW05,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW06,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW07,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW08,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW09,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW10,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW11,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level AL,VC2EALALW12,VCEAL066,Clarify the meaning of a word in home language and ask for the word to be written so it can be copied,Revised,Combined and revised to provide a broader meaning.
English,English as an Additional Language,Level AL,VC2EALALW12,VCEAL067,Use some home language words and words copied from various sources,Revised,Combined and revised to provide a broader meaning.
English,English as an Additional Language,Level AL,VC2EALALW12,VCEAL068,Understand some terminology of writing in English and/or home language,Revised,Combined and revised to provide a broader meaning.
English,English as an Additional Language,Level AL,VC2EALALW12,VCEALA065,Use some conventions from home language when writing,Revised,Combined and revised to provide a broader meaning.
English,English as an Additional Language,Level AL,VC2EALALW13,,,New,New in Version 2.0. Version 1.0 did not include Level AL.
English,English as an Additional Language,Level A1,,VCEALA034,Understand the direction of English text,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALA035,Understand that texts are meaningful,Removed,Removed to limit subjective terminology.
English,English as an Additional Language,Level A1,,VCEALA036,"Identify purposes for reading, such as reading for enjoyment and reading for information",Removed,Removed to limit subjective terminology.
English,English as an Additional Language,Level A1,,VCEALA040,Use simple dictionaries and word charts,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALA041,Recall or repeat familiar or favourite parts of a text using memory or home language resources,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALA060,Recognise the importance of accurate reproduction of letters and words,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALA061,Choose a topic to write or draw about,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALA063,Reread own texts or sentences written by another,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALA064,"Handwrite, draw or choose materials with particular care when writing for special purposes",Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALC004,Question to check meaning so as to clarify or confirm,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALC007,"Participate in simple and familiar songs, rhymes and chants",Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALC030,"Read short, familiar texts",Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALC033,Show a personal response to a text,Removed,"Removed, to be included at a higher level."
English,English as an Additional Language,Level A1,,VCEALC056,Write simple sentences related to own experience or school context,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALC057,Write a simple text that fulfils a function,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL016,"Engage in simple, short dialogues and initiate short utterances using a range of formulas appropriate for different purposes and functions",Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL020,Use a small range of grammatical patterns,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL021,Understand the tense of statements or instructions by using time references,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL022,Express simple negation with varying accuracy,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL024,Understand gender in common personal and possessive pronouns,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL025,Borrow key words from previous speaker,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL027,"Imitate pronunciation, stress and intonation patterns",Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL028,Use intelligible pronunciation but with many pauses and hesitations,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL042,Recognise and explore different types of texts,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL044,Understand and use simple metalanguage for books and reading,Removed,Removed to reduce technical language.
English,English as an Additional Language,Level A1,,VCEALL045,Rely on content words to understand the main idea in a text,Removed,Removed because it appears in another content description.
English,English as an Additional Language,Level A1,,VCEALL047,Identify repetitive words or phrases in known texts,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL048,Recognise some familiar words in context,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL053,Follow text with finger while reading,Removed,Removed to increase focus on understanding phoneme–grapheme correspondences.
English,English as an Additional Language,Level A1,,VCEALL054,Adopt the teacher’s intonation patterns when reading familiar texts,Removed,Removed to support students’ development of own voice and to allow for accents.
English,English as an Additional Language,Level A1,,VCEALL070,Show evidence of layout or planning in writing,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL071,Label drawings of everyday personal activities using language learnt in the classroom,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL073,Write sentences or phrases that reflect own oral structures,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL077,Write new words with an initial letter or several letters,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL078,"Use appropriate letter size, spacing and letter formation",Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL081,Use some conventions for printed English,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,,VCEALL082,Use basic keyboard skills to write personally significant words and simple modelled sentences,Removed,Removed to reduce repetition.
English,English as an Additional Language,Level A1,VC2EALA1L01,VCEALC001,Demonstrate attentive listening behaviour,Refined,Refined and the command term changed to provide guidance to teachers.
English,English as an Additional Language,Level A1,VC2EALA1L02,VCEALC002,Respond simply to questions and prompts,Refined,Refined for clarity.
English,English as an Additional Language,Level A1,VC2EALA1L03,VCEALA009,Use non-verbal language to sustain interaction with others,Revised,Combined and revised to provide more guidance to teachers about the different ways students may demonstrate this skill.
English,English as an Additional Language,Level A1,VC2EALA1L03,VCEALC003,Negotiate simple social or learning activities,Revised,Combined and revised to provide more guidance to teachers about the different ways students may demonstrate this skill.
English,English as an Additional Language,Level A1,VC2EALA1L04,VCEALC006,Follow simple instructions in familiar school routines by relying on key words and non-verbal communication and context,Refined,Refined to demonstrate the support required to develop the skill.
English,English as an Additional Language,Level A1,VC2EALA1L05,VCEALC005,Understand a simple spoken text,Revised,Combined 2 content descriptions to form one to reduce repetition.
English,English as an Additional Language,Level A1,VC2EALA1L05,VCEALL015,Recognise familiar spoken texts,Revised,Combined 2 content descriptions to form one to reduce repetition.
English,English as an Additional Language,Level A1,VC2EALA1L06,VCEALL018,"Communicate using short, learnt phrases",Revised,Revised to provide more guidance to teachers.
