SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L01,"Comprehend a simple spoken text, with teacher support",,"Understanding and responding to a range of common questions on personal or familiar topics, for example when asked ‘What is your favourite colour?’ and ‘What is your name?’"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L01,"Comprehend a simple spoken text, with teacher support",,"Understanding common phrases and sentences for social and school purposes, for example ‘I would like …’ and ‘I need some help.’"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L02,"Extract essential information from short, simple spoken texts relevant to personal experience, with teacher support",,"Understanding short and simply structured spoken texts, such as instructions read by the teacher and a recount from a peer"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L02,"Extract essential information from short, simple spoken texts relevant to personal experience, with teacher support",,"Understanding common vocabulary, including frequently used classroom words and learnt topic words"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L03,"Participate in familiar social and school routines, with teacher support",,"Using a range of common greetings and responses, for example ‘How are you today?’, ‘Fine.’ and ‘Good, thanks.’"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L03,"Participate in familiar social and school routines, with teacher support",,"Using familiar or formulaic phrases and sentences when making statements or responding to questions, for example ‘My name is …’ and ‘Nice to meet you.’"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L03,"Participate in familiar social and school routines, with teacher support",,"Borrowing words or phrases from a question to respond; for example, Teacher: ‘What is your favourite sport?’ Student: ‘My favourite sport is …’"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L03,"Participate in familiar social and school routines, with teacher support",,"Using common sentence structures; for example, Teacher: ‘What do you like to do on the weekends?’ Student: ‘I like to do sport on the weekends.’"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L03,"Participate in familiar social and school routines, with teacher support",,"Asking questions and following instructions to meet personal needs; for example, enquiring where to find resources or what colour of pen to use"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L04,"Present a simple prepared response on a familiar topic, with teacher support",,"Presenting a short rehearsed talk on a familiar topic; for example, giving a description of their family"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L04,"Present a simple prepared response on a familiar topic, with teacher support",,"Using familiar and rehearsed responses for common interactions; for example, recounting what they did on the weekend"
English,English as an Additional Language,Level C1,Listening and Speaking,Communication,VC2EALC1L04,"Present a simple prepared response on a familiar topic, with teacher support",,Developing fluency in familiar situations (e.g. when introducing themselves) and adapting responses to altered situations (e.g. when introducing a friend)
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L05,"Comprehend and produce a small range of short, spoken text types and structures",,"Understanding and producing short texts, such as simple recounts, descriptions and instructions, for different purposes"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L05,"Comprehend and produce a small range of short, spoken text types and structures",,"Identifying basic text structures such as introduction, body and conclusion"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L06,Sequence events chronologically using time markers,,"Using a narrow range of time markers such as ‘yesterday’, ‘last week’ and ‘on the weekend’ to indicate specific moments in the past, present and future"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L06,Sequence events chronologically using time markers,,"Using some coordinating conjunctions such as ‘and’ and ‘but’ to connect clauses, for example ‘I caught a bus and then walked.’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L06,Sequence events chronologically using time markers,,"Using some common subordinating conjunctions (such as ‘after’ and ‘because’) to connect clauses, for example ‘After we ate lunch, we played a game.’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L07,"Use different verb forms, with some consistency",,"Using a range of common verb tenses for familiar verbs, including present simple tense (e.g. ‘walk’ and ‘go’) and present continuous tense (e.g. ‘is walking’ and ‘is going’)"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L07,"Use different verb forms, with some consistency",,"Using some regular and common irregular past tenses, for example ‘walked’ and ‘went’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L07,"Use different verb forms, with some consistency",,"Beginning commands with an imperative verb (e.g. ‘Come over here, please.’ and ‘Bring that.’)"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L07,"Use different verb forms, with some consistency",,"Developing positive and negative statements using subject–verb constructions, for example ‘I didn’t finish.’ and ‘The bus arrived.’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L08,Use a small range of common descriptive language,,"Constructing simple noun groups with adjectives and simple possessive pronouns, for example ‘a yellow car’ and ‘my friend’s house’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L08,Use a small range of common descriptive language,,"Constructing noun groups using describers and classifiers, for example ‘tall trees’ and ‘native trees’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L08,Use a small range of common descriptive language,,"Using prepositions such as ‘in’, ‘on’ and ‘at’ to indicate time and place, for example in ‘on Monday’ and ‘in Melbourne’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L09,"Recognise and use key vocabulary and ideas from short, familiar spoken texts, supported by context",,Recognising familiar and learnt vocabulary in short spoken texts
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L09,"Recognise and use key vocabulary and ideas from short, familiar spoken texts, supported by context",,"Using contextual information, including illustrations, vocabulary lists and print texts, to identify key ideas and predict vocabulary"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L09,"Recognise and use key vocabulary and ideas from short, familiar spoken texts, supported by context",,"Recalling and applying a range of words related to familiar topics; for example, using words related to family, school, colours, numbers, days and months"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L09,"Recognise and use key vocabulary and ideas from short, familiar spoken texts, supported by context",,Using common synonyms (such as ‘fast’ and ‘quick’) and antonyms (such as ‘fast’ and ‘slow’) to communicate a range of meanings
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L09,"Recognise and use key vocabulary and ideas from short, familiar spoken texts, supported by context",,"Connecting a small number of words from a lexical set, for example for ‘soccer’, ‘ball’, ‘team’ and ‘match’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L10,Recognise and reproduce pronunciation patterns,,"Pronouncing common words and learnt words used in interpersonal interactions, classroom situations and content learning"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L10,Recognise and reproduce pronunciation patterns,,"Blending and segmenting sounds in words, for example ‘b-r-o-th-er’ and ‘c-l-ou-d-y’"
